,,,,f1,f2,duration,pitch
,,,,787,1293,0.159,273
,,,,772,1204,0.14,169
,,,,,,,
,,,,772,1334,0.206,213
,,,,320,1002,0.146,202
,,,,650,1245,0.343,200
,,,,763,1186,0.238,191
,,,,696,1157,0.15,194
,,,,554,904,0.2,278
,,,,738,1302,0.268,261
,,,,731,916,0.194,254
,,,,613,984,0.152,253
,,,,782,1417,0.122,201
,,,,493,2231,0.15,198
,,,,,,,
,,,,909,1123,0.199,262
,,,,589,981,0.159,159
,,,,683,1048,0.157,336
,,,,978,1429,0.179,343
,,,,755,1033,0.174,188
,,,,548,1152,0.126,194
,,,,1068,3068,0.146,213
,,,,525,1062,0.166,181
,,,,,,,
,,,,381,1748,0.131,183
,,,,325,2349,0.13,197
,,,,343,1837,0.137,195
,,,,375,2783,0.123,185
,,,,,,,
,,,,362,1583,0.099,210
,,,,454,1607,0.154,216
,,,,276,1601,0.146,224
,,,,353,1576,0.162,214
,,,,430,1644,0.154,222
,,,,453,1627,0.175,227
,,,,,,,
,,,,397,2513,0.21,262
,,,,280,1924,0.186,252
,,,,280,1537,0.165,258
,,,,583,1913,0.234,201
,,,,430,2279,0.18,171
,,,,327,2886,0.177,263
,,,,305,2873,0.24,256
,,,,291,1832,0.159,258
,,,,363,2375,0.183,293
,,,,340,1940,0.152,303
,,,,386,2163,0.256,320
,,,,,,,
,,,,363,937,0.115,190
,,,,338,1079,0.16,328
,,,,512,1138,0.17,448
,,,,427,1163,0.123,143
,,,,373,1463,0.21,301
,,,,383,1728,0.137,207
,,,,495,1795,0.154,136
,,,,455,1343,0.16,313
,,,,366,2131,0.142,357
,,,,,,,
,,,,282,2216,0.151,246
,,,,268,1859,0.189,262
,,,,265,1826,0.201,189
,,,,327,1927,0.214,220
,,,,282,1584,0.186,236
,,,,334,1937,0.208,293
,,,,324,1712,0.165,317
,,,,300,1865,0.155,195
,,,,466,1499,0.165,310
,,,,297,2077,0.127,272
,,,,325,1904,0.178,301
,,,,510,3099,0.132,210
,,,,452,2513,0.16,224
,,,,,,,
,,,,268,1540,0.147,271
,,,,409,1039,0.139,265
,,,,396,1466,0.13,301
,,,,298,1363,0.111,205
,,,,382,1369,0.146,160
,,,,255,1130,0.137,212
,,,,230,1111,0.116,217
,,,,,,,
,,,,771,1264,0.119,256
,,,,777,1221,0.094,156
,,,,630,1318,0.265,169
,,,,996,1343,0.208,194
,,,,886,1375,0.178, --undefined-- 
,,,,577,1295,0.225,202
,,,,603,1266,0.219,198
,,,,435,735,0.13,191
,,,,524,1260,0.134,266
,,,,230,908,0.287,202
,,,,867,1401,0.17,176
,,,,,,,
,,,,468,2849,0.164,339
,,,,393,2869,0.347,194
,,,,349,2320,0.128,183
,,,,396,2808,0.103,205
,,,,292,2791,0.215,198
,,,,434,2801,0.185,227
,,,,450,1478,0.19,247
,,,,,,,
,,,,362,1674,0.181,201
,,,,380,1699,0.133,193
,,,,409,1816,0.138,199
,,,,320,1702,0.174,261
,,,,399,1717,0.112,204
,,,,400,1691,0.176,207
,,,,402,1940,0.127,198
,,,,,,,
,,,,761,1546,0.107,186
,,,,638,1390,0.174,340
,,,,659,1579,0.252,380
,,,,964,1695,0.244,483
,,,,877,1285,0.165,175
,,,,668,1251,0.221,193
,,,,887,1320,0.209,195
,,,,814,1254,0.199,207
,,,,683,1343,0.222,224
,,,,853,1298,0.172,212
,,,,800,1488,0.317,256
,,,,795,1299,0.255,278
,,,,774,1305,0.147,188
,,,,,,,
,,,,285,3013,0.1,266
,,,,313,2900,0.075,279
,,,,335,3108,0.213,307
,,,,382,3487,0.223,367
,,,,259,3168,0.405,206
,,,,240,2900,0.234,204
,,,,320,2878,0.353,300
,,,,375,2802,0.209,305
,,,,351,2967,0.226,330
,,,,263,2268,0.512,208
,,,,365,3183,0.145,193
,,,,382,3273,0.269,336
,,,,319,3028,0.344,234
,,,,336,3121,0.184,316
,,,,,,,
,,,,383,1442,0.101,339
,,,,443,904,0.147,434
,,,,400,1664,0.125,199
,,,,336,1423,0.177,334
,,,,439,1178,0.136,400
,,,,248,1412,0.151,206
,,,,491,1342,0.144,251
,,,,283,1541,0.08,262
,,,,337,1430,0.109,322
,,,,520,1230,0.108,331
,,,,427,1582,0.134,209
,,,,321,1402,0.147,283
,,,,,,,
,,,,757,1155,0.197,392
,,,,528,1367,0.128,185
,,,,705,1309,0.268,224
,,,,938,1359,0.213,251
,,,,630,1105,0.196,253
,,,,499,913,0.311,401
,,,,738,1417,0.109,303
,,,,749,1264,0.448,314
,,,,446,1025,0.141,314
,,,,705,1075,0.411,285
,,,,662,1027,0.213,333
,,,,,,,
,,,,408,3169,0.203,288
,,,,375,3110,0.436,271
,,,,364,3112,0.114,345
,,,,410,3069,0.65,209
,,,,484,3090,0.218,254
,,,,372,3165,0.253,362
,,,,406,3206,0.137,392
,,,,342,3076,0.324,333
,,,,402,3113,0.08,260
,,,,340,3205,0.254,300
,,,,384,3098,0.144,286
,,,,382,3190,0.127,270
,,,,,,,
,,,,463,1260,0.241,403
,,,,398,1256,0.184,247
,,,,448,1268,0.069,236
,,,,443,1479,0.119,362
,,,,377,1312,0.233,245
,,,,356,1272,0.175,351
,,,,563,1171,0.1,297
,,,,656,1369,0.133,477
,,,,,,,
,,,,729,1263,0.304,183
,,,,611,1357,0.136,223
,,,,722,1028,0.196,197
,,,,794,1103,0.201,219
,,,,555,1183,0.201,192
,,,,574,1072,0.2,169
,,,,,,,
,,,,318,1866,0.194,193
,,,,251,2328,0.114,202
,,,,279,1781,0.165,196
,,,,235,2335,0.084,203
,,,,298,1252,0.175,193
,,,,262,2628,0.115,196
,,,,293,2796,0.2,221
,,,,347,1432,0.2,191
,,,,,,,
,,,,367,1977,0.086,195
,,,,369,2038,0.098,192
,,,,243,1676,0.203,212
,,,,376,1853,0.173,176
,,,,353,1880,0.149,205
,,,,,,,
,,,,712,1211,0.173,353
,,,,514,1216,0.236,244
,,,,496,1473,0.295,259
,,,,714,1248,0.166,230
,,,,610,832,0.256,222
,,,,661,1155,0.163,228
,,,,735,1245,0.182,369
,,,,603,1218,0.27,382
,,,,581,1227,0.317,184
,,,,612,1349,0.129,269
,,,,,,,
,,,,288,2331,0.137,255
,,,,379,2843,0.321,362
,,,,245,1865,0.142,196
,,,,261,2910,0.213,194
,,,,389,2996,0.241,355
,,,,383,2861,0.279,251
,,,,365,2847,0.467,284
,,,,355,3081,0.322,256
,,,,369,2908,0.187,356
,,,,334,3108,0.168,229
,,,,339,2945,0.157,211
,,,,303,2146,0.268,269
,,,,687,3048,0.239,307
,,,,351,2503,0.248,178
,,,,364,2688,0.375,218
,,,,,,,
,,,,413,1707,0.274,234
,,,,214,1532,0.298,209
,,,,316,1368,0.368,260
,,,,467,2021,0.138,353
,,,,285,1426,0.267,195
,,,,399,1902,0.161,207
,,,,310,1599,0.332,274
,,,,452,1772,0.111,364
,,,,500,1651,0.174,284
,,,,419,1846,0.167,255
,,,,406,1763,0.293,427
,,,,,,,
,,,,657,1083,0.135,332
,,,,915,1225,0.155,365
,,,,858,1480,0.191,239
,,,,982,1610,0.129, --undefined-- 
,,,,701,1235,0.133,255
,,,,523,1001,0.291,290
,,,,848,1292,0.26,320
,,,,1121,1643,0.126,217
,,,,882,1324,0.145,299
,,,,757,802,0.285,234
,,,,837,1357,0.459,191
,,,,,,,
,,,,386,2239,0.131,240
,,,,381,2695,0.124,212
,,,,288,3118,0.529,227
,,,,227,2718,0.171,187
,,,,275,2587,0.258,224
,,,,413,3090,0.372,223
,,,,381,2828,0.37,223
,,,,314,2472,0.203,289
,,,,339,3051,0.192,301
,,,,298,2691,0.214,280
,,,,220,3075,0.46,187
,,,,,,,
,,,,381,1766,0.211,206
,,,,290,1764,0.223,233
,,,,465,2123,0.328,352
,,,,270,1583,0.223,257
,,,,392,1705,0.16,246
,,,,273,1877,0.168,193
,,,,425,1970,0.182,330
,,,,319,1700,0.213,291
,,,,331,1939,0.162,211
,,,,259,1548,0.302,255
,,,,,,,
,,,,497,3224,0.385,261
,,,,469,3555,0.185,196
,,,,353,2370,0.299,143
,,,,,,,
,,,,462,2229,0.258,240
,,,,417,2259,0.331,191
,,,,437,2076,0.122,198
,,,,402,2164,0.202,164
,,,,450,2330,0.149,175
,,,,,,,
,,,,1038,1396,0.284,208
,,,,957,1419,0.131,166
,,,,887,1380,0.346,198
,,,,901,1570,0.166,175
,,,,,,,
,,,,354,2986,0.464,247
,,,,334,3200,0.388,177
,,,,379,3070,0.433,174
,,,,458,3070,0.323,144
,,,,,,,
,,,,497,2047,0.278,426
,,,,432,1470,0.326,131
,,,,412,1644,0.262,133
,,,,396,1456,0.255,131
,,,,,,,
,,,,1558,3298,0.383,154
,,,,831,1230,0.34,176
,,,,1119,1584,0.274,187
,,,,907,1414,0.244,231
,,,,1221,2194,0.27,137
,,,,,,,
,,,,411,3202,0.372,291
,,,,499,3079,0.336,183
,,,,386,1864,0.312,187
,,,,,,,
,,,,438,2067,0.183,307
,,,,530,1935,0.221,131
,,,,433,1345,0.201,153
,,,,445,3037,0.341,401
,,,,691,1481,0.152,361
,,,,403,1827,0.151,142
,,,,441,2451,0.297,411
,,,,,,,
,,,,1054,1797,0.248,152
,,,,632,1547,0.312,128
,,,,731,1452,0.269,168
,,,,1100,1684,0.235,256
,,,,,,,
,,,,345,3014,0.244,186
,,,,258,1322,0.196,163
,,,,443,2807,0.15,146
,,,,335,1974,0.218,138
,,,,,,,
,,,,388,1798,0.165,166
,,,,368,1951,0.144,161
,,,,413,1848,0.131,210
,,,,381,1805,0.146,191
,,,,,,,
,,,,908,1329,0.192,140
,,,,814,1345,0.227,160
,,,,617,1122,0.19,137
,,,,746,1187,0.151,160
,,,,338,2850,0.14,160
,,,,338,1727,0.138,161
,,,,759,1285,0.183,146
,,,,,,,
,,,,288,2085,0.255,262
,,,,363,3212,0.249,151
,,,,321,3023,0.149,159
,,,,449,3002,0.262,228
,,,,319,2868,0.163,152
,,,,407,2960,0.239,134
,,,,,,,
,,,,341,823,0.203,167
,,,,369,1295,0.136,163
,,,,364,917,0.181,205
,,,,372,1091,0.177,145
,,,,,,,
,,,,1089,1563,0.293,132
,,,,952,1446,0.275,132
,,,,963,1490,0.147,167
,,,,966,1580,0.317,133
,,,,,,,
,,,,364,3112,0.114,345
,,,,354,3026,0.281,178
,,,,484,3007,0.239,131
,,,,435,2483,0.132,139
,,,,314,2354,0.171,126
,,,,329,3177,0.181,187
,,,,470,3155,0.192,177
,,,,,,,
,,,,318,1128,0.248,177
,,,,361,1493,0.211,132
,,,,348,1052,0.203,210
,,,,355,1782,0.132,177
,,,,518,1508,0.136,169
,,,,,,,
,,,,1082,1462,0.252,133
,,,,362,1554,0.184,144
,,,,1240,1560,0.231, --undefined-- 
,,,,,,,
,,,,453,3065,0.252,204
,,,,449,3035,0.23,182
,,,,475,3197,0.37,218
,,,,424,2417,0.176,229
,,,,387,2857,0.343,179
,,,,322,1465,0.416,214
,,,,459,2900,0.25,207
,,,,,,,
,,,,412,1605,0.162,279
,,,,379,1597,0.235,130
,,,,405,2013,0.215,187
,,,,511,1196,0.181,257
,,,,363,1389,0.255,169
,,,,403,1614,0.191,166
,,,,,,,
,,,,924,1634,0.183,182
,,,,945,1535,0.202,794
,,,,979,1587,0.177,128
,,,,1016,1738,0.213,210
,,,,824,1403,0.267,175
